year,mean_r
1969,0.314857
1970,0.325933
1971,0.342132
1972,0.328846
1973,0.315719
1974,0.327526
1975,0.374204
1976,0.415293
1977,0.334040
1978,0.370900
1979,0.344753
1980,0.326241
1981,0.393892
1982,0.394565
1983,0.363140
1984,0.281184
1985,0.261541
1986,0.281914
1987,0.254228
1988,0.239907
1989,0.264191
1990,0.327701
1991,0.272463
1992,0.368855
1993,0.349890
1994,0.343797
1995,0.316696
1996,0.384654
1997,0.371194
1998,0.383389
1999,0.370444
2000,0.327475
2001,0.299203
2002,0.286458
2003,0.277072
2004,0.405969
2005,0.389719
2006,0.403627
2007,0.436081
2008,0.406471
2009,0.406900
2010,0.405778
2011,0.389202
2012,0.422632
2013,0.404713
2014,0.368140
2015,0.417883
2016,0.455193
2017,0.436761
2018,0.250519
2019,0.211702
2020,0.203728
