year,mean_r
1969,0.287511
1970,0.313961
1971,0.338084
1972,0.344753
1973,0.310820
1974,0.275419
1975,0.316383
1976,0.317911
1977,0.306549
1978,0.334056
1979,0.361796
1980,0.386718
1981,0.415067
1982,0.426407
1983,0.497933
1984,0.494253
1985,0.469877
1986,0.492760
1987,0.519514
1988,0.564170
1989,0.553193
1990,0.573530
1991,0.565292
1992,0.527457
1993,0.497058
1994,0.508692
1995,0.450536
1996,0.399247
1997,0.408630
1998,0.421184
1999,0.450765
2000,0.441124
2001,0.480583
2002,0.484202
2003,0.463953
2004,0.489897
2005,0.537925
2006,0.538714
2007,0.570587
2008,0.569778
2009,0.591503
2010,0.614457
2011,0.616753
2012,0.552109
2013,0.522791
2014,0.506329
2015,0.510514
2016,0.458506
2017,0.453174
2018,0.432656
2019,0.424480
2020,0.412299
